actor_ent,actor_logprob,actor_loss,batch_reward,buffer_size,critic_loss,critic_q1,critic_q2,critic_target_q,episode,episode_length,episode_reward,fps,frame,step,total_time
8.489292400360107,-5.6294541015625,-0.5040251164138317,0.23743794763088227,2505.0,0.023339691311120986,0.4916755553781986,0.4923601892590523,0.49364026296138763,5.0,1000.0,32.77495157196035,18.844428725418204,5000,2500.0,53.06608295440674
8.483867996215821,-5.598697599411011,-1.055075068473816,0.23799957340955735,3006.0,0.015534881040453911,1.0308241963386535,1.0308476822376251,1.0315305655002593,6.0,1000.0,31.24164481735092,44.530330580084744,6000,3000.0,75.52268695831299
8.47843869781494,-5.593192478179931,-1.571734703540802,0.23751796317100524,3507.0,0.019856891319155693,1.5440264072418213,1.5440161881446839,1.5446528239250183,7.0,1000.0,40.99080545172762,44.510302088117285,7000,3500.0,97.9893970489502
8.473004386901856,-5.588305063247681,-2.051129114151001,0.23738377994298934,4008.0,0.02765165938436985,2.0203346595764162,2.020314117431641,2.0208173832893372,8.0,1000.0,36.24934886549178,44.58085580217271,8000,4000.0,120.42055010795593
8.46756530380249,-5.583049936294556,-2.517457725524902,0.23767758798599242,4509.0,0.028699744775891305,2.4826646900177,2.4826321086883545,2.4833338832855225,9.0,1000.0,50.752617465924615,43.38960069067431,9000,4500.0,143.46754813194275
8.462121242523194,-5.5778294372558594,-2.93519114780426,0.23761055546998977,5010.0,0.03006434839963913,2.8985073204040526,2.8985002336502075,2.8992647724151612,10.0,1000.0,50.90335294418604,43.775609589106864,10000,5000.0,166.31132006645203
8.456672195434571,-5.572087217330933,-3.3297048683166506,0.23921349412202836,5511.0,0.044721588432788846,3.2883221340179443,3.2882917919158934,3.2887789878845215,11.0,1000.0,42.78475007832693,21.978181366359852,11000,5500.0,211.81099009513855
8.451218208312989,-5.567138826370239,-3.7127344369888307,0.23898538273572922,6012.0,0.05013884074985981,3.661599042892456,3.661565463066101,3.6621857404708864,12.0,1000.0,38.6446877197858,40.60859919742931,12000,6000.0,236.4363169670105
8.445759258270265,-5.561500961303711,-4.019110546112061,0.23715880835056305,6513.0,0.05064423143863678,3.977235269546509,3.9772022132873537,3.9778193244934084,13.0,1000.0,35.40369297783253,40.087337420664674,13000,6500.0,261.38185000419617
8.440295337677002,-5.5561468334198,-4.300430994033814,0.23747889232635497,7014.0,0.05845372400432825,4.256572412490844,4.25654629611969,4.2573672971725465,14.0,1000.0,42.70686495924801,36.73201970094772,14000,7000.0,288.6060540676117
8.43482646560669,-5.551040721893311,-4.576781779289246,0.23803082072734832,7515.0,0.06097909653931856,4.5360491762161255,4.536007237434387,4.536136260032654,15.0,1000.0,43.618014734300765,39.35053690919789,15000,7500.0,314.01866912841797
8.429352561950683,-5.546181158065796,-4.78934376335144,0.23670147663354874,8016.0,0.05827275324612856,4.747858591079712,4.747835079193115,4.748194942474365,16.0,1000.0,54.07571024076442,41.3955053759873,16000,8000.0,338.17587995529175
8.423873683929443,-5.540814989089966,-4.988951511383057,0.23752914798259736,8517.0,0.05094822482764721,4.957020425796509,4.957004703521728,4.957436752319336,17.0,1000.0,53.50479738806699,39.78862520532013,17000,8500.0,363.3086919784546
8.418389785766601,-5.5348736114501955,-5.1581894989013675,0.23736367905139924,9018.0,0.05429958356171846,5.127752880096436,5.12776171875,5.128504112243652,18.0,1000.0,30.319378141721412,32.74639147492548,18000,9000.0,393.84640884399414
8.41290087890625,-5.531818435668946,-5.347255393981934,0.2377920149564743,9519.0,0.05755600339174271,5.299847255706787,5.2998012218475345,5.299858846664429,19.0,1000.0,96.88754947154968,34.53184965049698,19000,9500.0,422.8051829338074
8.407406940460206,-5.52705401802063,-5.57351053237915,0.23646658700704576,10020.0,0.05537189161777496,5.50288851928711,5.502892263412476,5.503237138748169,20.0,1000.0,25.90446719806645,37.51359724618278,20000,10000.0,449.46218395233154
8.401907955169678,-5.52254697227478,-5.825818174362182,0.23869457161426544,10521.0,0.05086896149814129,5.754729047775268,5.754748224258423,5.75536261177063,21.0,1000.0,52.88702806026529,22.61663722960343,21000,10500.0,493.6774230003357
8.396403942108154,-5.5189038791656495,-6.037388191223145,0.238346825838089,11022.0,0.05722615623474121,5.955442779541015,5.955420890808106,5.9558538131713865,22.0,1000.0,35.11136347266405,42.97791950651071,22000,11000.0,516.9451849460602
8.390894882202149,-5.515297014236451,-6.237361680984497,0.2378145855665207,11523.0,0.05849688180536032,6.148250949859619,6.1482505550384525,6.148584350585938,23.0,1000.0,42.712950845909525,40.64693642240064,23000,11500.0,541.5472860336304
