run,episodes,start_score,final_score,best_score,mean_score_all,mean_score_final10,std_score_final10,auc_normalized_score
Side Brain,100,473.5700003337115,2820.676205643802,3380.8468596916646,1996.7970257941588,2968.5629686963975,227.48208597539627,2000.329085620476
Top Brain,100,455.2206991594285,2813.810583983315,2994.2892745865975,1808.1819001806737,2675.193430770584,170.3538579178658,1809.9361048130909
